claim_id,claim,evidence,evidence_label
2633,Jupiter's climate change is due to shifts in internal turbulence fueled from an internal heat source - the planet radiates twice as much energy as it receives from the sun.,"Despite this, Jupiter still radiates more heat than it receives from the Sun; the amount of heat produced inside it is similar to the total solar radiation it receives.",NOT_ENOUGH_INFO
2633,Jupiter's climate change is due to shifts in internal turbulence fueled from an internal heat source - the planet radiates twice as much energy as it receives from the sun.,"The water clouds are assumed to generate thunderstorms in the same way as terrestrial thunderstorms, driven by the heat rising from the interior.",SUPPORTS
496,"Nine years into that 11-year hurricane drought, a NASA scientist computed it as a 1-in-177-year event.","A statewide drought began in November 2005, one month after Hurricane Wilma's passage through the state, and persisted until 2009.",NOT_ENOUGH_INFO
496,"Nine years into that 11-year hurricane drought, a NASA scientist computed it as a 1-in-177-year event.","In a NASA report published in January 2013, Hansen and Sato noted ""the 5-year mean global temperature has been flat for a decade, which we interpret as a combination of natural variability and a slowdown in the growth rate of the net climate forcing.""",NOT_ENOUGH_INFO
104,Increases in atmospheric CO2 followed increases in temperature.,"Increases in atmospheric concentrations of CO 2 and other long-lived greenhouse gases such as methane, nitrous oxide and ozone have correspondingly strengthened their absorption and emission of infrared radiation, causing the rise in average global temperature since the mid-20th century.",SUPPORTS
104,Increases in atmospheric CO2 followed increases in temperature.,"Not only do increasing carbon dioxide concentrations lead to increases in global surface temperature, but increasing global temperatures also cause increasing concentrations of carbon dioxide.",NOT_ENOUGH_INFO
3103,"""Disasters Cost More Than Ever — But Not Because of Climate Change"" (Roger Pielke Jr.)","By addressing climate change, we can avoid the costs associated with the effects of climate change.",REFUTES
3103,"""Disasters Cost More Than Ever — But Not Because of Climate Change"" (Roger Pielke Jr.)","""Costing Climate Change"".",NOT_ENOUGH_INFO
1243,by that I mean the central Arctic will be ice-free.,"The melting of the ice is making the Northwest Passage, the shipping routes through the northernmost latitudes, more navigable, raising the possibility that the Arctic region will become a prime trade route.",SUPPORTS
1243,by that I mean the central Arctic will be ice-free.,"Most fresh water, about 68.7%, is present as ice in ice caps and glaciers.",NOT_ENOUGH_INFO
1108,"There was, he said, an ‘inherent bias’ in scientific journals which predisposed them to publish ‘doom and gloom stories’.","""Scientific Articles Accepted (Personal Checks, Too)"".",NOT_ENOUGH_INFO
1108,"There was, he said, an ‘inherent bias’ in scientific journals which predisposed them to publish ‘doom and gloom stories’.","The historical Technology Review often published articles that were controversial, or critical of certain technologies.",NOT_ENOUGH_INFO
1010,"“‘The Arctic may be remote, but changes that occur there directly affect us.","The Arctic is especially vulnerable to the effects of any climate change, as has become apparent with the reduction of sea ice in recent years.",NOT_ENOUGH_INFO
1010,"“‘The Arctic may be remote, but changes that occur there directly affect us.","Climate change is also predicted to have a large impact on Tundra vegetation, causing an increase of shrubs, and having a negative impact on bryophytes and lichens.",NOT_ENOUGH_INFO
626,"The trend has been measured by a network of tidal gauges, many of which have been collecting data for over a century.","More precise data gathered from satellite radar measurements reveal an accelerating rise of 7.5 cm (3.0 in) from 1993 to 2017, which is a trend of roughly 30 cm (12 in) per century.",NOT_ENOUGH_INFO
626,"The trend has been measured by a network of tidal gauges, many of which have been collecting data for over a century.","""One of the most striking trends – over a century of global-average sea level change"".",NOT_ENOUGH_INFO
3074,"Fourth Assessment Report (AR4), in which the likely range is given as 2.0°C to 4.5°C, with a best estimate of 3.0°C"" (Pat Michaels)","IPCC authors concluded ECS is very likely to be greater than 1.5 °C (2.7 °F) and likely to lie in the range 2 to 4.5 °C (4 to 8.1 °F), with a most likely value of about 3 °C (5 °F).",SUPPORTS
3074,"Fourth Assessment Report (AR4), in which the likely range is given as 2.0°C to 4.5°C, with a best estimate of 3.0°C"" (Pat Michaels)","In its 2007 Fourth Assessment Report, IPCC said that climate sensitivity is ""likely to be in the range 2 to 4.5 °C with a best estimate of about 3 °C"".",SUPPORTS
457,"temperatures rise and they fall, and they rise and they fall… and for the last 400 years we’ve had a gentle warming as we’ve been coming out of the little ice age.",Global warming is the long-term rise in the average temperature of the Earth's climate system.,NOT_ENOUGH_INFO
457,"temperatures rise and they fall, and they rise and they fall… and for the last 400 years we’ve had a gentle warming as we’ve been coming out of the little ice age.","Temperatures rose by 0.0 °C–0.2 °C from 1720–1800 to 1850–1900 (Hawkins et al., 2017).",NOT_ENOUGH_INFO
2807,"When the internal variability is removed from the temperature record, what we find is nearly monotonic, accelerating warming throughout the 20th Century.","One argument is that of global warming occurring due to human-caused emission of greenhouse gases, particularly carbon dioxide produced by the burning of fossil fuels.",NOT_ENOUGH_INFO
2807,"When the internal variability is removed from the temperature record, what we find is nearly monotonic, accelerating warming throughout the 20th Century.","The global average and combined land and ocean surface temperature, show a warming of 0.85 [0.65 to 1.06] °C, in the period 1880 to 2012, based on multiple independently produced datasets.",NOT_ENOUGH_INFO
3099,"""The IPCC’s Fourth Assessment Report, 2007, carries in three places a graph in which the Hadley Center’s global mean surface temperature anomaly dataset from 1850-2005 is displayed with four arbitrarily-chosen trend-lines overlaid upon it.","Climate Change 2007, the Fourth Assessment Report (AR4) of the United Nations Intergovernmental Panel on Climate Change (IPCC), is the fourth in a series of reports intended to assess scientific, technical and socio-economic information concerning climate change, its potential effects, and options for adaptation and mitigation.",NOT_ENOUGH_INFO
3099,"""The IPCC’s Fourth Assessment Report, 2007, carries in three places a graph in which the Hadley Center’s global mean surface temperature anomaly dataset from 1850-2005 is displayed with four arbitrarily-chosen trend-lines overlaid upon it.","This section of the report, Climate Change 2007: The Physical Science Basis, assessed current scientific knowledge of ""the natural and human drivers of climate change"" as well as observed changes in climate.",NOT_ENOUGH_INFO
2256,"The warming effect from more CO2 greatly outstrips the influence from changes in the Earth's orbit or solar activity, even if solar levels were to drop to Maunder Minimum levels.","If the Sun was responsible for observed warming, warming of the troposphere at the surface and warming at the top of the stratosphere would be expected as increase solar activity would replenish ozone and oxides of nitrogen.",NOT_ENOUGH_INFO
2256,"The warming effect from more CO2 greatly outstrips the influence from changes in the Earth's orbit or solar activity, even if solar levels were to drop to Maunder Minimum levels.",CO 2 absorbs and emits infrared radiation at wavelengths of 4.26 µm (asymmetric stretching vibrational mode) and 14.99 µm (bending vibrational mode) and consequently is a greenhouse gas that plays a significant role in influencing Earth's surface temperature through the greenhouse effect.,SUPPORTS
392,a study that totally debunks the whole concept of man-made Global Warming,(2012) concluded that human activities had likely led to a warming of extreme daily minimum and maximum temperatures at the global scale.,NOT_ENOUGH_INFO
392,a study that totally debunks the whole concept of man-made Global Warming,"Global Change Research Program concluded that ""[global] warming is unequivocal and primarily human-induced.""",REFUTES
2438,Greenhouse gases have been the main contributor of warming since 1970.,"In the scientific literature, there is an overwhelming consensus that global surface temperatures have increased in recent decades and that the trend is caused mainly by human-induced emissions of greenhouse gases.",SUPPORTS
2438,Greenhouse gases have been the main contributor of warming since 1970.,"Before the Industrial Revolution, naturally occurring amounts of greenhouse gases caused the air near the surface to be warmer by about 33 °C (59 °F) than it would be in their absence.",SUPPORTS
